"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1317","User login with wrong email or password","LMS system","2026-08-29","passed","2026-08-29","Authorization","Authentication","",""
"","3182","User login with correct email or password","LMS system","2026-08-29","passed","2026-08-29","Authorization","Authentication","",""
"","1269","Check displaying of empty courses list","LMS system","2026-08-29","passed","2026-08-29","Courses","Courses","",""
"","3609","Edit course","LMS system","2026-08-29","passed","2026-08-29","Courses","Courses","",""
"","1609","Registration with correct email, username and password","LMS system","2026-08-29","passed","2026-08-29","Registration","Authentication","",""
"","1538","User login with wrong email or password","LMS system","2026-08-29","passed","2026-08-29","Authorization","Authentication","",""
"","1296","User login with wrong email or password","LMS system","2026-08-29","passed","2026-08-29","Authorization","Authentication","",""
"","1152","Check displaying of dashboard page","LMS system","2026-08-29","passed","2026-08-29","Dashboard","Dashboard","",""
"","1102","Navigation from login page to registration page","LMS system","2026-08-29","passed","2026-08-29","Authorization","Authentication","",""
"","3647","Create course","LMS system","2026-08-29","passed","2026-08-29","Courses","Courses","",""
