ERROR    asyncio:base_events.py:1865 Task was destroyed but it is pending!
task: <Task pending name='Task-11' coro=<Page._on_route() running at /opt/hostedtoolcache/Python/3.13.3/x64/lib/python3.13/site-packages/playwright/_impl/_page.py:298> wait_for=<Future pending cb=[Task.task_wakeup()]> cb=[Connection.dispatch.<locals>._done_callback() at /opt/hostedtoolcache/Python/3.13.3/x64/lib/python3.13/site-packages/playwright/_impl/_connection.py:438]>
INFO     BASE_PAGE:base_page.py:19 Opening the url "./#/auth/login"
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-form-email-input" at index "0"
INFO     INPUT:input.py:24 Set to Input "Email" value "user.name@gmail.com"
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-form-email-input" at index "0"
INFO     INPUT:input.py:34 Checking that value of Input "Email" is "user.name@gmail.com"
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-form-password-input" at index "0"
INFO     INPUT:input.py:24 Set to Input "Password" value "password"
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-form-password-input" at index "0"
INFO     INPUT:input.py:34 Checking that value of Input "Password" is "password"
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-form-email-input" at index "0"
INFO     BASE_ELEMENT:base_element.py:55 Checking that Input "Email" is visible
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-form-email-input" at index "0"
INFO     INPUT:input.py:34 Checking that value of Input "Email" is "user.name@gmail.com"
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-form-password-input" at index "0"
INFO     BASE_ELEMENT:base_element.py:55 Checking that Input "Password" is visible
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-form-password-input" at index "0"
INFO     INPUT:input.py:34 Checking that value of Input "Password" is "password"
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-page-login-button" at index "0"
INFO     BASE_ELEMENT:base_element.py:45 Clicking Button "Login"
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-page-wrong-email-or-password-alert" at index "0"
INFO     BASE_ELEMENT:base_element.py:55 Checking that Text "Wrong email or password" is visible
INFO     BASE_ELEMENT:base_element.py:27 Getting locator with data-testid="login-page-wrong-email-or-password-alert" at index "0"
INFO     BASE_ELEMENT:base_element.py:65 Checking that text of Text "Wrong email or password" is "Wrong email or password"
